,Inflow,,count,freq,hour,hum,outflow,temp,weathersit,weekday,windspeed,workingday
0,0,,20,0,0,0.6,0,0.24,2,5,0.1642,1
1,0,,20,0,1,0.6,0,0.24,1,5,0.194,1
2,0,,20,0,2,0.6,0,0.24,1,5,0.2537,1
3,0,,20,0,3,0.6,0,0.24,2,5,0.1642,1
4,0,,20,0,4,0.6,0,0.24,2,5,0.1045,1
5,0,,20,0,5,0.6,0,0.24,2,5,0.0896,1
6,0,,20,0,6,0.64,0,0.22,1,5,0.2836,1
7,0,,20,0,7,0.64,0,0.22,1,5,0.1642,1
8,0,,20,0,8,0.6,0,0.24,2,5,0.1343,1
9,0,,20,0,9,0.6,0,0.24,2,5,0.2836,1
10,0,,20,0,10,0.56,0,0.26,2,5,0.2537,1
11,0,,20,0,11,0.52,0,0.28,2,5,0.2239,1
12,0,,20,0,12,0.49,0,0.3,2,5,0.1343,1
13,0,,20,0,13,0.49,0,0.3,2,5,0.1343,1
14,0,,20,0,14,0.49,0,0.3,2,5,0.1343,1
15,0,,20,0,15,0.49,0,0.3,2,5,0,1
16,0,,20,0,16,0.49,0,0.3,1,5,0.1343,1
17,0,,20,0,17,0.6,0,0.24,1,5,0.1343,1
18,0,,20,0,18,0.6,0,0.24,1,5,0.1343,1
19,0,,20,0,19,0.65,0,0.24,2,5,0.194,1
20,0,,20,0,20,0.65,0,0.24,2,5,0.1045,1
21,0,,20,0,21,0.7,0,0.24,2,5,0.1343,1
22,0,,20,0,22,0.7,0,0.24,2,5,0.0896,1
23,0,,20,0,23,0.65,0,0.24,2,5,0.0896,1
24,0,,20,0,0,0.87,0,0.26,3,4,0.2985,1
25,0,,20,0,1,0.93,0,0.24,3,4,0.4478,1
26,0,,20,0,2,0.87,0,0.24,2,4,0.4478,1
27,0,,20,0,3,0.87,0,0.24,2,4,0.2239,1
28,0,,20,0,4,0.87,0,0.24,2,4,0.3284,1
29,0,,20,0,5,0.75,0,0.24,1,4,0.1642,1
30,0,,20,0,6,0.7,0,0.24,1,4,0.4925,1
31,0,,20,0,7,0.7,0,0.24,1,4,0.2239,1
32,0,,20,0,8,0.65,0,0.26,1,4,0.3582,1
33,0,,20,0,9,0.6,0,0.26,1,4,0.4925,1
34,0,,20,0,10,0.56,0,0.28,1,4,0.5224,1
35,0,,20,0,11,0.56,0,0.28,2,4,0.4478,1
36,0,,20,0,12,0.49,0,0.3,1,4,0.4627,1
37,0,,20,0,13,0.49,0,0.3,1,4,0.4627,1
38,0,,20,0,14,0.56,0,0.26,2,4,0.5224,1
39,0,,20,0,15,0.56,0,0.26,2,4,0.4478,1
40,0,,20,0,16,0.52,0,0.26,2,4,0.2836,1
41,1,,21,-1,17,0.52,0,0.26,2,4,0.2836,1
42,0,,21,0,18,0.6,0,0.24,2,4,0.2537,1
43,0,,21,0,19,0.6,0,0.24,1,4,0.2836,1
44,0,,21,0,20,0.6,0,0.24,1,4,0.1642,1
45,0,,21,0,21,0.6,0,0.24,2,4,0.2537,1
46,0,,21,0,22,0.6,0,0.24,2,4,0.2836,1
47,0,,21,0,23,0.6,0,0.24,2,4,0.2537,1
48,0,,20,0,0,0.65,0,0.28,2,3,0.2537,1
49,0,,20,0,1,0.65,0,0.26,2,3,0.2985,1
50,0,,20,0,2,0.65,0,0.26,2,3,0.2985,1
51,0,,20,0,3,0.7,0,0.24,2,3,0.3582,1
52,0,,20,0,4,0.69,0,0.22,1,3,0.3582,1
53,0,,20,0,5,0.69,0,0.22,2,3,0.2836,1
54,0,,20,0,6,0.69,0,0.22,2,3,0.2239,1
55,0,,20,0,7,0.86,0,0.2,3,3,0.3284,1
56,0,,20,0,8,0.86,0,0.2,3,3,0.3284,1
57,0,,20,0,9,0.86,0,0.2,3,3,0.3284,1
58,0,,20,0,10,0.86,0,0.2,3,3,0.2985,1
59,0,,20,0,11,0.86,0,0.2,3,3,0.4627,1
60,0,,20,0,12,0.87,0,0.22,3,3,0.3284,1
61,0,,20,0,13,0.87,0,0.22,3,3,0.3284,1
62,0,,20,0,14,0.93,0,0.22,3,3,0.2537,1
63,0,,20,0,15,0.87,0,0.26,3,3,0.3582,1
64,0,,20,0,16,0.87,0,0.26,3,3,0.3582,1
65,0,,20,0,17,0.93,0,0.26,3,3,0.3582,1
66,0,,20,0,18,0.93,0,0.28,3,3,0.2985,1
67,0,,20,0,19,0.87,0,0.3,3,3,0.194,1
68,0,,20,0,20,0.93,0,0.32,3,3,0.2537,1
69,0,,20,0,21,0.87,0,0.3,2,3,0.2985,1
70,0,,20,0,22,0.93,0,0.24,3,3,0.4478,1
71,0,,20,0,23,0.87,0,0.26,3,3,0.2985,1
72,0,,20,0,0,0.93,0,0.24,3,2,0.0896,0
73,0,,20,0,1,0.87,0,0.26,2,2,0.1642,0
74,0,,20,0,2,0.87,0,0.26,2,2,0.1642,0
75,0,,20,0,3,0.87,0,0.24,2,2,0.0896,0
76,0,,20,0,4,0.93,0,0.22,2,2,0.1343,0
77,0,,20,0,5,0.93,0,0.22,2,2,0.1343,0
