,hour,outflow,Inflow,freq,count,weekday,workingday,weathersit,temp,hum,windspeed
0,0,0,0,0,20,5.0,1.0,1.0,0.26,0.7,0.1642
1,1,0,0,0,20,5.0,1.0,1.0,0.24,0.7,0.0896
2,2,0,0,0,20,5.0,1.0,1.0,0.24,0.75,0.0
3,3,0,0,0,20,5.0,1.0,1.0,0.24,0.75,0.0
4,4,0,0,0,20,5.0,1.0,1.0,0.22,0.75,0.0
5,5,0,0,0,20,5.0,1.0,1.0,0.2,0.8,0.0
6,6,0,0,0,20,5.0,1.0,1.0,0.2,0.86,0.0
7,7,0,0,0,20,5.0,1.0,1.0,0.22,0.8,0.0
8,8,3,0,3,17,5.0,1.0,2.0,0.22,0.8,0.0896
9,9,1,0,1,16,5.0,1.0,1.0,0.24,0.75,0.0896
10,10,0,0,0,16,5.0,1.0,2.0,0.3,0.65,0.0
11,11,0,0,0,16,5.0,1.0,2.0,0.34,0.53,0.0896
12,12,0,0,0,16,5.0,1.0,2.0,0.38,0.46,0.0
13,13,0,0,0,16,5.0,1.0,2.0,0.4,0.4,0.1642
14,14,0,0,0,16,5.0,1.0,2.0,0.4,0.4,0.1045
15,15,0,0,0,16,5.0,1.0,2.0,0.42,0.38,0.1045
16,16,0,0,0,16,5.0,1.0,1.0,0.4,0.43,0.1343
17,17,0,2,-2,18,5.0,1.0,1.0,0.36,0.5,0.194
18,18,0,1,-1,19,5.0,1.0,2.0,0.34,0.61,0.0
19,19,0,0,0,19,5.0,1.0,1.0,0.32,0.66,0.0
20,20,0,0,0,19,5.0,1.0,1.0,0.32,0.66,0.0
21,21,0,0,0,19,5.0,1.0,1.0,0.3,0.75,0.0896
22,22,0,0,0,19,5.0,1.0,1.0,0.3,0.75,0.0
23,23,0,0,0,19,5.0,1.0,2.0,0.3,0.75,0.0896
24,0,0,0,0,20,4.0,1.0,1.0,0.24,0.56,0.0896
25,1,0,0,0,20,4.0,1.0,1.0,0.22,0.64,0.0896
26,2,0,0,0,20,4.0,1.0,1.0,0.22,0.64,0.0
27,3,0,0,0,20,4.0,1.0,1.0,0.2,0.75,0.0896
28,4,0,0,0,20,4.0,1.0,1.0,0.2,0.69,0.0
29,5,0,0,0,20,4.0,1.0,1.0,0.22,0.69,0.0
30,6,0,0,0,20,4.0,1.0,1.0,0.2,0.64,0.0
31,7,0,0,0,20,4.0,1.0,1.0,0.2,0.69,0.1045
32,8,0,0,0,20,4.0,1.0,1.0,0.24,0.6,0.0
33,9,0,0,0,20,4.0,1.0,1.0,0.28,0.65,0.0896
34,10,0,0,0,20,4.0,1.0,1.0,0.36,0.37,0.2239
