,hour,outflow,Inflow,freq,count,weekday,workingday,weathersit,temp,hum,windspeed
0,0,0,0,0,20,3.0,1.0,2.0,0.3,0.81,0.1045
1,1,0,0,0,20,3.0,1.0,2.0,0.3,0.81,0.0896
2,2,0,0,0,20,3.0,1.0,2.0,0.3,0.81,0.1343
3,3,0,0,0,20,3.0,1.0,2.0,0.3,0.81,0.1045
4,4,0,0,0,20,3.0,1.0,2.0,0.3,0.87,0.194
5,5,0,0,0,20,3.0,1.0,2.0,0.3,0.81,0.1343
6,6,0,0,0,20,3.0,1.0,1.0,0.3,0.81,0.1642
7,7,0,0,0,20,3.0,1.0,2.0,0.3,0.87,0.1343
8,8,0,0,0,20,3.0,1.0,1.0,0.32,0.81,0.1343
9,9,0,0,0,20,3.0,1.0,1.0,0.34,0.76,0.1343
10,10,2,0,2,18,3.0,1.0,1.0,0.36,0.71,0.2836
11,11,0,0,0,18,3.0,1.0,2.0,0.36,0.66,0.2239
12,12,0,0,0,18,3.0,1.0,1.0,0.4,0.58,0.194
13,13,0,0,0,18,3.0,1.0,1.0,0.42,0.5,0.2239
14,14,0,0,0,18,3.0,1.0,2.0,0.42,0.5,0.2239
15,15,0,0,0,18,3.0,1.0,1.0,0.42,0.54,0.1642
16,16,0,0,0,18,3.0,1.0,2.0,0.42,0.54,0.2239
17,17,1,0,1,17,3.0,1.0,2.0,0.4,0.58,0.1642
18,18,0,0,0,17,3.0,1.0,2.0,0.4,0.58,0.1642
19,19,0,1,-1,18,3.0,1.0,2.0,0.4,0.5,0.194
20,20,0,0,0,18,3.0,1.0,2.0,0.4,0.5,0.194
21,21,0,0,0,18,3.0,1.0,2.0,0.4,0.5,0.194
22,22,0,0,0,18,3.0,1.0,1.0,0.36,0.57,0.1343
23,23,0,0,0,18,3.0,1.0,1.0,0.36,0.57,0.0896
24,0,0,0,0,20,2.0,1.0,3.0,0.3,0.81,0.3582
25,1,0,0,0,20,2.0,1.0,3.0,0.3,0.81,0.3582
26,2,0,0,0,20,2.0,1.0,3.0,0.3,0.87,0.2537
27,3,0,0,0,20,2.0,1.0,3.0,0.3,0.87,0.2537
28,4,0,0,0,20,2.0,1.0,3.0,0.3,0.87,0.2239
