,hour,count,weekday,workingday,weathersit,temp,hum,windspeed
0,0,20,5.0,1.0,2.0,0.24,0.6,0.1642
1,1,20,5.0,1.0,1.0,0.24,0.6,0.19399999999999998
2,2,20,5.0,1.0,1.0,0.24,0.6,0.2537
3,3,20,5.0,1.0,2.0,0.24,0.6,0.1642
4,4,20,5.0,1.0,2.0,0.24,0.6,0.1045
5,5,20,5.0,1.0,2.0,0.24,0.6,0.0896
6,6,20,5.0,1.0,1.0,0.22,0.64,0.2836
7,7,20,5.0,1.0,1.0,0.22,0.64,0.1642
8,8,20,5.0,1.0,2.0,0.24,0.6,0.1343
9,9,20,5.0,1.0,2.0,0.24,0.6,0.2836
10,10,20,5.0,1.0,2.0,0.26,0.56,0.2537
11,11,20,5.0,1.0,2.0,0.28,0.52,0.2239
12,12,20,5.0,1.0,2.0,0.3,0.49,0.1343
13,13,20,5.0,1.0,2.0,0.3,0.49,0.1343
14,14,20,5.0,1.0,2.0,0.3,0.49,0.1343
15,15,20,5.0,1.0,2.0,0.3,0.49,0.0
16,16,20,5.0,1.0,1.0,0.3,0.49,0.1343
17,17,20,5.0,1.0,1.0,0.24,0.6,0.1343
18,18,20,5.0,1.0,1.0,0.24,0.6,0.1343
19,19,20,5.0,1.0,2.0,0.24,0.65,0.19399999999999998
20,20,20,5.0,1.0,2.0,0.24,0.65,0.1045
21,21,20,5.0,1.0,2.0,0.24,0.7,0.1343
22,22,20,5.0,1.0,2.0,0.24,0.7,0.0896
23,23,20,5.0,1.0,2.0,0.24,0.65,0.0896
24,0,20,4.0,1.0,3.0,0.26,0.87,0.2985
25,1,20,4.0,1.0,3.0,0.24,0.93,0.4478
26,2,20,4.0,1.0,2.0,0.24,0.87,0.4478
27,3,20,4.0,1.0,2.0,0.24,0.87,0.2239
28,4,20,4.0,1.0,2.0,0.24,0.87,0.3284
29,5,20,4.0,1.0,1.0,0.24,0.75,0.1642
30,6,20,4.0,1.0,1.0,0.24,0.7,0.4925
31,7,20,4.0,1.0,1.0,0.24,0.7,0.2239
32,8,20,4.0,1.0,1.0,0.26,0.65,0.3582
33,9,20,4.0,1.0,1.0,0.26,0.6,0.4925
34,10,20,4.0,1.0,1.0,0.28,0.56,0.5224
35,11,20,4.0,1.0,2.0,0.28,0.56,0.4478
36,12,20,4.0,1.0,1.0,0.3,0.49,0.4627
37,13,20,4.0,1.0,1.0,0.3,0.49,0.4627
38,14,20,4.0,1.0,2.0,0.26,0.56,0.5224
39,15,20,4.0,1.0,2.0,0.26,0.56,0.4478
40,16,20,4.0,1.0,2.0,0.26,0.52,0.2836
41,17,21,4.0,1.0,2.0,0.26,0.52,0.2836
42,18,21,4.0,1.0,2.0,0.24,0.6,0.2537
43,19,21,4.0,1.0,1.0,0.24,0.6,0.2836
44,20,21,4.0,1.0,1.0,0.24,0.6,0.1642
45,21,21,4.0,1.0,2.0,0.24,0.6,0.2537
46,22,21,4.0,1.0,2.0,0.24,0.6,0.2836
47,23,21,4.0,1.0,2.0,0.24,0.6,0.2537
48,0,20,3.0,1.0,2.0,0.28,0.65,0.2537
49,1,20,3.0,1.0,2.0,0.26,0.65,0.2985
50,2,20,3.0,1.0,2.0,0.26,0.65,0.2985
51,3,20,3.0,1.0,2.0,0.24,0.7,0.3582
52,4,20,3.0,1.0,1.0,0.22,0.69,0.3582
53,5,20,3.0,1.0,2.0,0.22,0.69,0.2836
54,6,20,3.0,1.0,2.0,0.22,0.69,0.2239
55,7,20,3.0,1.0,3.0,0.2,0.86,0.3284
56,8,20,3.0,1.0,3.0,0.2,0.86,0.3284
57,9,20,3.0,1.0,3.0,0.2,0.86,0.3284
58,10,20,3.0,1.0,3.0,0.2,0.86,0.2985
59,11,20,3.0,1.0,3.0,0.2,0.86,0.4627
60,12,20,3.0,1.0,3.0,0.22,0.87,0.3284
61,13,20,3.0,1.0,3.0,0.22,0.87,0.3284
62,14,20,3.0,1.0,3.0,0.22,0.93,0.2537
63,15,20,3.0,1.0,3.0,0.26,0.87,0.3582
64,16,20,3.0,1.0,3.0,0.26,0.87,0.3582
65,17,20,3.0,1.0,3.0,0.26,0.93,0.3582
66,18,20,3.0,1.0,3.0,0.28,0.93,0.2985
67,19,20,3.0,1.0,3.0,0.3,0.87,0.19399999999999998
68,20,20,3.0,1.0,3.0,0.32,0.93,0.2537
69,21,20,3.0,1.0,2.0,0.3,0.87,0.2985
70,22,20,3.0,1.0,3.0,0.24,0.93,0.4478
71,23,20,3.0,1.0,3.0,0.26,0.87,0.2985
72,0,20,2.0,0.0,3.0,0.24,0.93,0.0896
73,1,20,2.0,0.0,2.0,0.26,0.87,0.1642
74,2,20,2.0,0.0,2.0,0.26,0.87,0.1642
75,3,20,2.0,0.0,2.0,0.24,0.87,0.0896
76,4,20,2.0,0.0,2.0,0.22,0.93,0.1343
77,5,20,2.0,0.0,2.0,0.22,0.93,0.1343
